Round,Odd
1,1.5
2,1.7
3,2.0
4,1.8
5,3.0
6,1.9
7,2.2
8,1.6
9,4.0
10,1.8
11,2.1
12,1.5
13,2.3
14,1.7
15,10
16,1.6
17,2.5
18,1.9
19,3.2
20,1.8
21,2.0
22,1.7
23,2.1
24,1.9
25,3.5
26,1.8
27,2.2
28,1.6
29,5.0
30,1.9
31,2.3
32,1.7
33,2.0
34,1.8
35,4.5
36,1.6
37,2.1
38,1.9
39,3.0
40,1.8
41,2.0
42,1.7
43,2.2
44,1.9
45,5.5
46,1.8
47,2.3
48,1.6
49,3.2
50,1.9
51,2.1
52,1.7
53,2.5
54,1.8
55,4.0
56,1.6
57,2.0
58,1.9
59,3.5
60,1.8
61,2.2
62,1.7
63,2.1
64,1.9
65,5.0
66,1.8
67,2.3
68,1.6
69,3.0
70,1.9
71,2.1
72,1.7
73,2.5
74,1.8
75,4.5
76,1.6
77,2.0
78,1.9
79,3.2
80,1.8
81,2.0
82,1.7
83,2.2
84,1.9
85,5.5
86,1.8
87,2.3
88,1.6
89,3.5
90,1.9
91,2.1
92,1.7
93,2.5
94,1.8
95,4.0
96,1.6
97,2.0
98,1.9
99,3.2
100,1.8
101,2.0
102,1.7
103,2.2
104,1.9
105,5.0
106,1.8
107,2.3
108,1.6
109,3.0
110,1.9
111,2.1
112,1.7
113,2.5
114,1.8
115,4.5
116,1.6
117,2.0
118,1.9
119,3.5
120,1.8
121,2.2
122,1.7
123,2.1
124,1.9
125,5.0
126,1.8
127,2.3
128,1.6
129,3.2
130,1.9
131,2.0
132,1.7
133,2.5
134,1.8
135,4.0
136,1.6
137,2.1
138,1.9
139,3.0
140,1.8
141,2.2
142,1.7
143,2.1
144,1.9
145,5.5
146,1.8
147,2.3
148,1.6
149,3.5
150,1.9
151,2.0
152,1.7
153,2.5
154,1.8
155,4.0
156,1.6
157,2.0
158,1.9
159,3.2
160,1.8
161,2.0
162,1.7
163,2.2
164,1.9
165,5.0
166,1.8
167,2.3
168,1.6
169,3.0
170,1.9
171,2.1
172,1.7
173,2.5
174,1.8
175,4.5
176,1.6
177,2.0
178,1.9
179,3.5
180,1.8
181,2.2
182,1.7
183,2.1
184,1.9
185,5.5
186,1.8
187,2.3
188,1.6
189,3.2
190,1.9
191,2.1
192,1.7
193,2.5
194,1.8
195,4.0
196,1.6
197,2.0
198,1.9
199,3.2
200,1.8
201,2.0
202,1.7
203,2.2
204,1.9
205,5.0
206,1.8
207,2.3
208,1.6
209,3.0
210,1.9
211,2.1
212,1.7
213,2.5
214,1.8
215,4.5
216,1.6
217,2.0
218,1.9
219,3.5
220,1.8
221,2.2
222,1.7
223,2.1
224,1.9
225,5.0
226,1.8
227,2.3
228,1.6
229,3.2
230,1.9
231,2.0
232,1.7
233,2.5
234,1.8
235,4.0
236,1.6
237,2.1
238,1.9
239,3.0
240,1.8
241,2.2
242,1.7
243,2.1
244,1.9
245,5.5
246,1.8
247,2.3
248,1.6
249,3.5
250,1.9
251,2.0
252,1.7
253,2.5
254,1.8
255,4.0
256,1.6
257,2.0
258,1.9
259,3.2
260,1.8
261,2.0
262,1.7
263,2.2
264,1.9
265,5.0
266,1.8
267,2.3
268,1.6
269,3.0
270,1.9
271,2.1
272,1.7
273,2.5
274,1.8
275,4.5
276,1.6
277,2.0
278,1.9
279,3.5
280,1.8
281,2.2
282,1.7
283,2.1
284,1.9
285,5.5
286,1.8
287,2.3
288,1.6
289,3.2
290,1.9
291,2.1
292,1.7
293,2.5
294,1.8
295,4.0
296,1.6
297,2.0
298,1.9
299,3.2
300,1.8
